многодетныемамы	mothers of many children
хоримия	horimiya
объемом	volume
встречалась	met
создавали	created
непредвиденных	unforeseen
ранимая	vulnerable
кинонарезкасериаловсериал	film series series
любовницамужа	husband's mistress
раздельно	apart
длядетейигрушкиживотные	for childrentoysanimals
совиныйдом	owl house
самоежуткоеместо	the creepiest place
кэнсин	kenshin
фрида	Frida
откажетесь	refuse
познай	know
ягучиятора	yaguchiyatora
удобныйтелевизор	comfortable TV
телопослеродов	postpartum body
продвижение	promotion
окисления	oxidation
вкусные	delicious
стрельца	Sagittarius
зависает	freezes
прилетел	arrived
макияжнакаждыйдень	makeupeveryday
макеева	Makeeva
прокачки	pumping
ноготкибьютиштучки	nailsbeautythings
куриныеножки	chicken legs
поехавшая	gone crazy
бекстейдж	backstage
выхлоп	exhaust
пиццерий	pizzeria
неохотно	reluctantly
детективужемертв	detectivedead
чудоупражнении	miracle exercise
бизнесидея	business idea
виден	visible
читать	read
гачаклуб	gacha club
сожгут	will burn
оптимальной	optimal
сибирьарена	Siberian Arena
вики	wiki
закупаю	I'm purchasing
многозадачность	multitasking
молодых	young
анимания	animania
попробовали	tried it
пунш	punch
соревнованиям	competitions
стильмакияж	stylemakeup
триллионов	trillion
ногтей	nails
пробежал	ran
вызовет	will cause
поддерживаю	I support
уайлд	wild
бусе	bead
взбесили	enraged
историявлог	historyvlog
разбился	crashed
извращенка	pervert
кролика	a rabbit
нукнук	nuknuk
долой	Down with
офигенная	awesome
практиковать	to practice
аудиторию	audience
обновки	new clothes
смехдослез	laughterto tears
фуад	fuad
медленном	slow
продолжению	continuation
яркой	bright
прогревов	warm-ups
коньбоджек	horsejack
историческиеместа	historical places
пьющий	drinker
научпопегэ	scientific
камераслдкуезавами	camerasldquezavami
киношно	cinematic
смотришь	look
прочна	durable
юбки	skirts
сюжетов	stories
волосыпослеродов	postpartum hair
заключили	concluded
милыйлук	cutebow
кошатник	cat person
дэвачки	girls
влюбились	fell in love
обзоручителей	teacher review
бикиниморе	bikinimore
шопинг	shopping
сдаем	we rent
реагируете	react
избранных	selected
полировкатюнингобзор	polishingtuningreview
книжку	book
суарес	Suarez
палку	stick
поступишь	you'll get in
тренироквка	training
опускаете	lower it
противоположный	opposite
форсажхоббсишоу	fast and furioushobbyshow
свеклы	beets
групповую	group
экономику	economy
тренчем	trench coat
автомобиль	automobile
львята	lion cubs
декрет	decree
скрытых	hidden
блюд	dishes
приседайте	squat
питомцы	pets
плюсы	pros
красоткиприрода	babesnature
запишись	sign up
безработный	unemployed
